cleaned_tweet,class
queer gaywad,0
alsarabsss hes beaner smh tell hes mexican,0
youre fucking gay blacklisted hoe holding tehgodclan anyway,0
lmfaoooo hate black people theres black people niggers,0
least im nigger lmfao,0
ariza snake coward least isnt cripple like hero roach lmaoo,0
drakes new shoes released nikejordan yes theres glitter shoes dudes fag,0
gerryshalloweenparty halloween yesterday stupid nigger,0
bored supposed cute faggot sometimes,0
lassen cc coach wants feel youll get nig doubt,0
jackies retard blondeproblems least make grilled cheese,0
stacey dash baddest bitch evaaaa,0
dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,0
hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,0
lets kill cracker babies wtf hear wow,0
grandma used call porch monkey time come think refer broken bottle nigger knife,0
nah yo thought photoshopped face faggot smmfhi hate yall,0
people time aryan race stand say mongerls turn world ghetto slum,0
sour apple bitter bitches im fuckin wit em,0
hate niggers hate faggots hate spicskkk rally,0
queer hut like butt,0
fuck callin jiggaboo nigga,0
people think gay marriage okay beyond sorry dont want future son seeing fags walking street holding hands,0
aint gunna shit spear chucker,0
ol trout mouth ass bitch deeeeaaaadd,0
ayo even kill handicapped crippled bitcheslook scalp real close youll see triple sixes,0
fuck pussy ass hater go suck dick die quick someone youtube comments think wed good friends,0
way fuck bitch name lord mr race,0
poor whitey,0
azmonsoon lot rain bad wasnt enough wash away teabagger racist white trash state tcot teaparty azflooding,0
california full white trash,0
california full white trash moved oklahoma,0
dtla trash noneuropeans allowed live,0
dutch farmers white trash,0
dutch people live outside newyorkcity white trash,0
iowa full white trash,0
jesuschrist straightgt thats faggots killed period sonofgodgt,0
minnesota full white trash,0
reasonswecantbetogether u talkin nig smashed da homies,0
rebelscience using actual woman genetic engineering lab natural clones something faggot rome,0
slightlyadjusted rt alls niggers wanna fuck tweet drink pineapple soda day,0
somethingigetalot asian black hawaiian gay retarded drunk,0
southcarolina full white trash,0
thingsiwillteachmychild play deez niggas n bitches dat snakes,0
trayvonmartin referred zimmerman creepy ass cracker racist thug,0
tweetlikepontiacholmes pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,0
vinitahegwood get job naacp ag hear like diversity tolerance long aint cracker tcot,0
virginia full white trash,0
westvirginia full white trash,0
faggots merely scientific indicator something wronggt celebrate unique indiviuals cancergt,0
firefighter job white trash,0
milesthompson goauche wetback ca,0
racist month fuck u honkey,0
rt lmfao rt watching porn amp beating amp yo homie text u amp show name banner youre faggot,0
fucc nicca yu pose pullin,0
said rt tl gotta chill pretty face challenge foolishness yall hoes agg,0
rt st charlotte goon niccas gon fkkk around burn bank america stadium,0
rt recruited buku fags herea warehouse place,0
lbum de fotos gaywrites making project queer students harvard highlights,0
awkward u fag wonder whos awesome tank,0
u ask every bitch gayor bi,0
agree fuck yes send illegal wetbacks home,0
hell ya make malt liquor ads like dis heaven fo colored man,0
tea bag bitch pahahaha,0
fucking white people bitch wut,0
like needs hoe im breaking suck dick,0
dudes shaving without athletic purpose gay af youre retarded,0
live gay cant afraid two black dicks butt fucking queer,0
love song john doe dope faggots,0
got done last final im walkin around campus like place queer,0
dammn weed potheads annoying af twitter weed pot thing faggot,0
rt yall hype bread loaf chick im chill dyke rapper,0
cowboys win games regular season get playoffs trash af lol hating ass nigga,0
white kids favorite activities calling people niggers xbox fucking pet shooting school,0
shut fuck fucking trash nigga work another ring,0
damn got wifey fall back nigga dont share hoes,0
shoot nigga shorty bitch,0
phone charging backwards retarded,0
aint special niglet rt im chilling wit greg ppl walk ask take picshatin,0
rt lemme find niggaz letting bitches shit yo faces niggas weirdos,0
u regular nig u played b lol ima b ig famousthese days counts somethin,0
need thank killing niggers reward dis pal graduation,0
hate bitch amp fact oomf likes retweeettt x,0
bitch ass nigga fuck lt hoes aint got manners realtalk,0
one friend greet insult niggers,0
fleek yo vocabulary faggot,0
faggot respect,0
u unfollowed cant dm u ill say youre rude cunt lmao dm,0
want affection also want left alone see issue herefag,0
yall think ok faggots want us cool,0
ampwhen say mean dyke ron wcw,0
dont sleep niggah chood,0
happppppy birthdayyyy lol niggahs really bitch,0
ugly ass niggah tf chuu baka anyways niggah look like,0
niggah pharrell whatever niggah name dont deserve shit white ass gay song,0
damn whitey youll get kick newest form white privilege,0
goes olive garden turns cracker goes black friday shopping turns nigger,0
gusta typing like retard make person look dumber pretending agree bazinga,0
gtrt ankle socks general faggots bro,0
aaaaaaaaand begins rt fucking niggers thats kentucky ever,0
youre white arent rolls eyes rt rip nigga trayvon worthless spear chucker,0
beer queer,0
hoes dyke,0
old hoes ponk dyke outchea girl talk,0
white men pick trucks screaming nigger coach got nerve get mad missed free throw,0
mo let kill crackers kill babies new black panthers hijack ferguson presser,0
bet hes starbucks queer,0
good enough fag,0
faggot,0
live south lot pop lives rhode island hardly niggers,0
basically like background music fag,0
hate nigger,0
niggers disgust dealt years ago wouldnt problems,0
retarded,0
cant wait peds roid munching faggot,0
homo ass crackers,0
fight ur choice game faggot see happens,0
wrong nigger always causung mischief among ur people,0
totally correct anthony cant livin round dem colored folk day bringin da hood dem propery value,0
youre going kill crackers amp babies new black panthers credibilityshot fergusonriot justicemikebrown,0
guys supposed get ass sucked queer,0
welcome movement anyone gets even minor publicity queer fed jew well according internet,0
ape fuck u broke ass racist,0
like talking faggot nicely way fag,0
answer snapchat faggot butthurt,0
literally eat asshole living actually faggot seem little confused,0
ur faggot teammate hits someone late like u say hes yapping yelling u guys def room,0
send damn beaners back belong n us aint,0
cracker jack shut fuck,0
youd like wouldnt fag,0
looks like fag time line boring zzzzzz,0
whats wrong white race fuckin coon slaying piece poop please die alone,0
lmfao go bed whitey,0
pass fosters faggot,0
yeawhat maidana made greedy faggot loser atleast broner black,0
yea u stupid faggot im leaving till like pm want ride,0
never followed ignorant monkey,0
citizen said maria spic,0
nasty nigger whore,0
said bullshit damn niggers,0
wow comin back bitch niggas,0
id like rape bitch posted,0
fuck faggot,0
new nigga hipster hypebeasts love faggot ass bright colors nike keeps giving want smh,0
sand nigger ran kidd,0
dont like sand nigger entertaining like knockdowns,0
joe cortez ultimate faggot fight proved,0
us beaners pissed like robert jew ref stopped,0
true sand niggers amp bum brits claim hes atg hall fame legend smh,0
racist tx trash racist wld u intvw n ask racist questions itwas disrespectful,0
hey sir house nigger uncle tom arent grand ole mississippi rest case,0
fag hesgay,0
styl gotta get dem tweets nig,0
fuck outta go put trash ass ink faggot ass self pussy,0
stay talking defending fuckboy ass boyfriend go suck youre faggot,0
need accept fact youre hipster faggots,0
gay stfu dumb monkey,0
chase god damn faggot,0
gone nigguh,0
faaaaggggottttt speaking blonde hair confused youre hypocrite cuz youre faggot,0
shut chink,0
call someone faggot say kill pathetic human fucking disgrace,0
dont know talking retarded faggot,0
true miss yall man yall brothers mikey starting chink lmfao,0
youre fag,0
wetback,0
nig fun watch got admit ebola boy speak broken spanish lol,0
look like fucking shrek bitch,0
get cunt,0
bitch shut fuck goddam slut bitch whore nigga,0
jk id fuck dog fuck fish pussy,0
support lesbians support faggots theres difference,0
hoe shit bro rt x better rn nigga high,0
id hate feeling like faggot punk ass hoe,0
wash butthole tongue little faggot,0
whatever fuck assholes theyre niggers look alike,0
little isis faggots usually bags heads anyway makes bullet placement interesting thru scope,0
fags,0
purple amp pinkfor faggots want protectedby police instead bearing arms need,0
shut fag,0
like retarded wutang clan,0
beans u beaner,0
wouldnt know fag,0
enraged lb mike brown lethal weapon legshis hatred police amp whitey added fuel arsenal,0
learned many retards find search trending topics,0
thats bias objective fact philly fans cunts,0
movies dont matter long coon shit coons youre nigga,0
sounds like good idea want word spread jews niggers commies alike,0
sure want give free pass every border jumper country two whats wrong,0
shes nigger,0
redneck attitude people think benghazzi real think fox fake nws real one,0
becuz man celebrate bday drreams faggot,0
hoe dont make put screenshots texts hoe,0
jus wanted let yll know hope hurricane kills soca sunday trash lordwillin,0
ew queer white thirsty bitch,0
fugly queer white trash,0
omg gtfo white faggot,0
ratchet looking nigger,0
